Deputado;Partido;Legislatura
ABELARDO CAMARINHA;PSB;18
ADILSON ROSSI;PSB;18
AFONSO LOBATO;PV;18
AIRTON GARCIA;PSB;18
ALDO DEMARCHI;DEM;18
ALENCAR SANTANA BRAGA;PT;18
ALEXANDRE PEREIRA;SD;18
ANA DO CARMO;PT;18
ANALICE FERNANDES;PSDB;18
ANDRÉ DO PRADO;PR;18
ANDRÉ SOARES;DEM;18
ANGELO PERUGINI;PDT;18
ANTONIO SALIM CURIATI;PP;18
ATILA JACOMUSSI;PSB;18
BARROS MUNHOZ;PSDB;18
BETH SAHÃO;PT;18
CAIO FRANÇA;PSB;18
CAMPOS MACHADO;PTB;18
CARLÃO PIGNATARI;PSDB;18
CARLOS BEZERRA JR.;PSDB;18
CARLOS CEZAR;PSB;18
CARLOS GIANNAZI;PSOL;18
CARLOS NEDER;PT;18
CÁSSIO NAVARRO;PMDB;18
CAUÊ MACRIS;PSDB;18
CÉLIA LEÃO;PSDB;18
CELINO CARDOSO;PSDB;18
CELSO GIGLIO;PSDB;18
CELSO NASCIMENTO;PSC;18
CEZINHA DE MADUREIRA;DEM;18
CHICO SARDELLI;PV;18
CLÉLIA GOMES;PHS;18
CORONEL CAMILO;PSD;18
CORONEL TELHADA;PSDB;18
DAVI ZAIA;PPS;18
DELEGADO OLIM;PP;18
DOUTOR ULYSSES;PV;18
ED THOMAS;PSB;18
EDMIR CHEDID;DEM;18
EDSON GIRIBONI;PV;18
ENIO TATTO;PT;18
ESTEVAM GALVÃO;DEM;18
FELICIANO FILHO;PSC;18
FERNANDO CAPEZ;PSDB;18
FERNANDO CURY;PPS;18
GERALDO CRUZ;PT;18
GIL LANCASTER;DEM;18
GILENO GOMES;PSL;18
GILMACI SANTOS;PRB;18
GILMAR GIMENES;PP;18
HÉLIO NISHIMOTO;PSDB;18
IGOR SOARES;PODE;18
ITAMAR BORGES;PMDB;18
JOÃO CARAMEZ;PSDB;18
JOÃO PAULO RILLO;PT;18
JOOJI HATO;PMDB;18
JORGE CARUSO;PMDB;18
JORGE WILSON XERIFE DO CONSUMIDOR;PRB;18
JOSÉ AMÉRICO;PT;18
JOSÉ ZICO PRADO;PT;18
JUNIOR APRILLANTI;PSB;18
LECI BRANDÃO;PC do B;18
LÉO OLIVEIRA;PMDB;18
LUIZ CARLOS GONDIM;SD;18
LUIZ FERNANDO MACHADO;PSDB;18
LUIZ FERNANDO T. FERREIRA;PT;18
LUIZ TURCO;PT;18
MÁRCIA LIA;PT;18
MÁRCIO CAMARGO;PSC;18
MARCO VINHOLI;PSDB;18
MARCOS DAMASIO;PR;18
MARCOS MARTINS;PT;18
MARCOS NEVES;PV;18
MARCOS ZERBINI;PSDB;18
MARIA LÚCIA AMARY;PSDB;18
MARTA COSTA;PSD;18
MAURO BRAGATO;PSDB;18
MILTON LEITE FILHO;DEM;18
MILTON VIEIRA;PRB;18
ORLANDO BOLÇONE;PSB;18
ORLANDO MORANDO;PSDB;18
PAULO CORREA JR;PEN;18
PEDRO KAKÁ;PODE;18
PEDRO TOBIAS;PSDB;18
PROFESSOR AURIEL;PT;18
RAFAEL SILVA;PDT;18
RAMALHO DA CONSTRUÇÃO;PSDB;18
RAUL MARCELO;PSOL;18
REINALDO ALGUZ;PV;18
RICARDO MADALENA;PR;18
RITA PASSOS;PSD;18
ROBERTO ENGLER;PSDB;18
ROBERTO MASSAFERA;PSDB;18
ROBERTO MORAIS;PPS;18
ROBERTO TRIPOLI;PV;18
RODRIGO MORAES;DEM;18
ROGÉRIO NOGUEIRA;DEM;18
ROQUE BARBIERE;PTB;18
SEBASTIÃO SANTOS;PRB;18
TEONILIO BARBA;PT;18
VANESSA DAMO;PMDB;18
VAZ DE LIMA;PSDB;18
VITOR SAPIENZA;PPS;18
WELLINGTON MOURA;PRB;18
WELSON GASPARINI;PSDB;18
